component_id,component_type,adi,cv2,unit_price,annual_demand,true_class
COMP-0001,bearing,1.1179,0.2168,479.94,195.1,smooth
COMP-0002,filter,1.111,0.3487,2257.43,74.8,smooth
COMP-0003,gasket,1.2005,0.2947,1143.92,111.4,smooth
COMP-0004,gasket,0.7345,0.3645,3792.86,71.6,smooth
COMP-0005,pump,1.2242,0.3894,2338.94,9.7,smooth
COMP-0006,valve,0.7833,0.3096,4837.87,65.8,smooth
COMP-0007,gasket,0.9,0.2284,2383.77,46.2,smooth
COMP-0008,bearing,1.0617,0.2161,3504.32,63.2,smooth
COMP-0009,motor,1.1494,0.3558,3415.65,28.8,smooth
COMP-0010,seal,0.808,0.0528,3327.61,141.3,smooth
COMP-0011,bearing,1.1216,0.2244,581.51,134.0,smooth
COMP-0012,bearing,0.9544,0.2648,3177.24,111.2,smooth
COMP-0013,valve,0.9577,0.0628,4268.48,47.6,smooth
COMP-0014,seal,0.7315,0.1569,3312.96,111.8,smooth
COMP-0015,seal,1.1233,0.3024,843.19,5.5,smooth
COMP-0016,pump,0.7486,0.3245,814.75,100.7,smooth
COMP-0017,valve,0.7822,0.3146,1514.55,126.4,smooth
COMP-0018,seal,0.8954,0.0833,4809.87,181.8,smooth
COMP-0019,valve,1.0778,0.151,3587.28,90.4,smooth
COMP-0020,pump,0.847,0.0866,2284.32,41.3,smooth
COMP-0021,gasket,0.8652,0.2701,3795.01,144.2,smooth
COMP-0022,pump,0.9333,0.2884,3252.73,17.8,smooth
COMP-0023,valve,0.9245,0.0658,731.18,21.6,smooth
COMP-0024,seal,1.0173,0.1148,2909.5,70.0,smooth
COMP-0025,seal,1.0191,0.0587,3915.85,17.5,smooth
COMP-0026,gasket,0.9628,0.2365,2862.92,95.2,smooth
COMP-0027,pump,0.8442,0.176,117.84,165.4,smooth
COMP-0028,gasket,1.1839,0.1033,551.79,134.8,smooth
COMP-0029,motor,0.8519,0.3006,547.63,183.3,smooth
COMP-0030,pump,0.8243,0.0642,1860.9,166.1,smooth
COMP-0031,filter,1.1365,0.1705,2580.14,51.9,smooth
COMP-0032,seal,1.16,0.2898,4459.47,150.0,smooth
COMP-0033,gasket,1.181,0.3895,3862.34,132.7,smooth
COMP-0034,seal,0.9018,0.0859,1319.68,187.4,smooth
COMP-0035,motor,0.8301,0.0966,904.55,120.3,smooth
COMP-0036,valve,1.1723,0.1246,3889.25,194.4,smooth
COMP-0037,bearing,0.7812,0.01,617.94,101.8,smooth
COMP-0038,filter,1.0749,0.2708,4022.58,143.4,smooth
COMP-0039,gasket,1.0991,0.0998,1993.92,60.9,smooth
COMP-0040,motor,0.9638,0.3019,1439.37,185.0,smooth
COMP-0041,pump,0.7134,0.261,710.29,84.4,smooth
COMP-0042,bearing,1.2218,0.2765,4023.76,94.0,smooth
COMP-0043,seal,1.1238,0.0568,3986.12,47.3,smooth
COMP-0044,pump,0.9866,0.2803,3019.5,83.1,smooth
COMP-0045,motor,0.9021,0.2118,2274.95,50.3,smooth
COMP-0046,motor,0.8278,0.3335,535.34,14.2,smooth
COMP-0047,seal,1.021,0.1055,727.92,184.3,smooth
COMP-0048,seal,0.7894,0.1582,586.3,5.2,smooth
COMP-0049,pump,0.7937,0.1814,1596.78,101.4,smooth
COMP-0050,seal,0.9496,0.2787,1254.44,114.7,smooth
COMP-0051,motor,0.9248,0.0687,517.34,166.9,smooth
COMP-0052,gasket,0.9686,0.5464,4898.06,160.6,erratic
COMP-0053,pump,1.1209,0.2941,2684.98,103.3,smooth
COMP-0054,bearing,1.1631,0.2259,3201.42,54.0,smooth
COMP-0055,filter,0.7755,0.2316,1843.88,73.9,smooth
COMP-0056,valve,0.8768,0.1942,1491.41,189.8,smooth
COMP-0057,gasket,1.1948,0.2327,4244.32,130.9,smooth
COMP-0058,gasket,1.1344,0.2524,1447.9,147.2,smooth
COMP-0059,motor,0.8093,0.314,3075.75,19.9,smooth
COMP-0060,bearing,1.0919,0.0821,695.67,191.8,smooth
COMP-0061,motor,1.1325,0.2756,4730.68,51.4,smooth
COMP-0062,pump,1.0186,0.0861,864.74,113.4,smooth
COMP-0063,pump,1.0091,0.2271,3998.23,98.9,smooth
COMP-0064,pump,1.0238,0.4039,594.35,18.5,smooth
COMP-0065,valve,1.0552,0.2091,1674.85,179.8,smooth
COMP-0066,filter,1.1118,0.1528,1579.06,32.4,smooth
COMP-0067,pump,0.7798,0.4057,3651.13,111.0,smooth
COMP-0068,seal,1.2055,0.3465,1888.03,197.3,smooth
COMP-0069,valve,1.0876,0.4115,3189.0,25.3,smooth
COMP-0070,pump,0.9857,0.4279,1483.84,92.3,smooth
COMP-0071,pump,0.9388,0.1647,561.84,199.4,smooth
COMP-0072,pump,1.1748,0.1579,541.03,199.8,smooth
COMP-0073,valve,1.3374,0.1275,723.68,155.6,intermittent
COMP-0074,valve,0.807,0.396,190.45,2.1,smooth
COMP-0075,motor,0.7279,0.2803,4248.55,12.4,smooth
COMP-0076,valve,1.1325,0.4026,3493.62,167.8,smooth
COMP-0077,filter,0.7217,0.1267,3728.49,126.4,smooth
COMP-0078,gasket,1.1596,0.109,973.28,54.9,smooth
COMP-0079,gasket,1.0833,0.4225,3085.38,9.4,smooth
COMP-0080,bearing,1.1774,0.3196,467.69,37.5,smooth
COMP-0081,valve,1.2292,0.2243,2866.34,29.9,smooth
COMP-0082,filter,1.2109,0.1645,3501.88,130.2,smooth
COMP-0083,filter,1.2079,0.1064,2376.1,24.7,smooth
COMP-0084,seal,0.7724,0.1557,2145.24,122.6,smooth
COMP-0085,pump,1.0427,0.2065,2945.65,64.1,smooth
COMP-0086,valve,0.7195,0.209,1135.71,114.9,smooth
COMP-0087,filter,1.0055,0.3168,1587.91,157.7,smooth
COMP-0088,filter,0.9965,0.2139,1809.68,103.0,smooth
COMP-0089,pump,1.0978,0.3868,2606.17,160.2,smooth
COMP-0090,gasket,0.8698,0.3682,588.13,15.3,smooth
COMP-0091,gasket,1.1547,0.0711,873.24,63.5,smooth
COMP-0092,seal,1.1011,0.0556,4284.17,75.1,smooth
COMP-0093,gasket,0.783,0.2783,4792.56,199.1,smooth
COMP-0094,seal,1.1169,0.1682,3529.98,78.2,smooth
COMP-0095,pump,1.0461,0.0541,827.12,34.0,smooth
COMP-0096,gasket,1.1516,0.4259,4196.96,198.1,smooth
COMP-0097,seal,0.7765,0.2203,3779.1,87.3,smooth
COMP-0098,bearing,0.9534,0.1073,4536.45,9.9,smooth
COMP-0099,motor,0.8257,0.161,2471.52,17.7,smooth
COMP-0100,filter,0.8316,0.3706,3249.25,134.4,smooth
COMP-0101,pump,1.112,0.0721,1698.9,169.1,smooth
COMP-0102,gasket,0.9606,0.3421,2528.91,182.0,smooth
COMP-0103,filter,1.017,0.3731,2661.74,21.9,smooth
COMP-0104,gasket,0.9152,0.3986,895.76,68.4,smooth
COMP-0105,filter,0.8035,0.0594,1544.6,120.1,smooth
